"site" "tree" "height" "id" "sp" "sample" "code_habit1" "Ramicaule" "Pseudobulb" "Monopodial" "LeafyStem" "empty" "habit1"
"50" "LH" "F03" "E5" "59" "Campylocentrum micranthum" "F03_E5" "2" "0" "0" "0" "1" "0" "Leafy stem"
"51" "LH" "F03" "E5" "60" "Campylocentrum micranthum" "F03_E5" "2" "0" "0" "0" "1" "0" "Leafy stem"
"52" "LH" "F03" "E5" "61" "Stelis spathulata" "F03_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"53" "LH" "F03" "E5" "62" "Stelis spathulata" "F03_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"54" "LH" "F03" "E5" "63" "Stelis spathulata" "F03_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"55" "LH" "F03" "E5" "64" "Lepanthes sp.1" "F03_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"56" "LH" "F03" "E5" "65" "Lepanthes sp.1" "F03_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"57" "LH" "F03" "E5" "66" "Lepanthes sp.1" "F03_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"58" "LH" "F03" "E5" "67" "Lepanthes sp.1" "F03_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"59" "LH" "F03" "E4" "68" "Epidendrum porpax" "F03_E4" "2" "0" "0" "0" "1" "0" "Leafy stem"
"60" "LH" "F03" "E4" "69" "Epidendrum porpax" "F03_E4" "2" "0" "0" "0" "1" "0" "Leafy stem"
"61" "LH" "F03" "E4" "70" "Epidendrum porpax" "F03_E4" "2" "0" "0" "0" "1" "0" "Leafy stem"
"62" "LH" "F03" "E4" "71" "Restrepia antennifera" "F03_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"63" "LH" "F03" "E4" "72" "Restrepia antennifera" "F03_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
