"tree" "stratum" "Campylocentrum.micranthum" "Cryptocentrum.latifolium" "Dichaea.hystricina" "Dichaea.pendula" "Encyclia.prostechea" "Epidendrum.LH" "Epidendrum.porpax" "Epidendrum.RY" "Epidendrum.sp.1" "Lankesteriana.cuspidata" "Lepanthes.sp" "Lepanthes.sp.1" "Lepanthes.sp.2" "Lepanthes.sp.3" "Lepanthopsis.floripecten" "Maxillaria" "Maxillaria.fritzii" "Maxillaria.ochracea" "Mormolyca.rufescens" "Myoxanthus.affinis" "Oncidium.adelaide" "Oncidium.chrysomorphum" "Oncidium.pictum" "Platystele.consobrina" "Pleurothallis.hystrix" "Pleurothallis.tripterantha" "Restrepia.antennifera" "Stelis.argentata" "Stelis.popayanensis" "Stelis.sp.1" "Stelis.sp.2" "Stelis.spathulata" "Stelis.vulcanica" "Sygmatostalix.sergii"
"11" "F04" "E2" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0
"12" "F04" "E3" 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"13" "F04" "E4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0
"14" "F05" "E1" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"15" "F05" "E2" 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"16" "F05" "E3" 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0
"17" "F05" "E4" 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0
"18" "F05" "E5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0
"19" "F06" "E2" 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0
"20" "F06" "E3" 1 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0
"21" "F06" "E4" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0
"22" "F06" "E5" 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0
"23" "F07" "E3" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
"24" "F07" "E4" 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"25" "F07" "E5" 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0
"26" "F08" "E2" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"27" "F08" "E3" 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0
