date,tree,orch_i,strat_h,orch_sp_paleo,loc,tree_id,strat_id,orch_id,orch_sp_nhoc,LA,LDM,LFM,LT,SLA,NFU,LLU,NL,fertile,habit1,habit2,habit1_txt,habit2_txt
2017,66,144,8,Stelis spathulata,RY,T11,E4,144,Stelis spathulata,2.898,0.0278,0.21,0.833333333,104.2446043,11,8,11,2,2,1,Ramicaule,Erect
2017,66,145,8,Stelis spathulata,RY,T11,E4,145,Stelis spathulata,3.524,0.0337,0.25,0.806666667,104.5697329,9,8.5,9,0,2,1,Ramicaule,Erect
2017,66,146,8,Mormolyca rufescens,RY,T11,E4,146,Mormolyca rufescens,8.647,0.0878,0.4,0.456666667,98.48519362,8,11,5,0,3,1,Pseudobulbs_Single internode,Erect
2017,65,147,10,Pleurothallis hystrix,RY,T10,E5,147,Pleurothallis hystrix,4.798,0.0381,0.34,0.796666667,125.9317585,7,9,7,0,1,3,Stemmed,Reptant
2017,65,148,10,Stelis spathulata,RY,T10,E5,148,Stelis spathulata,1.97,0.0119,0.13,0.746666667,165.5462185,19,7.5,19,0,2,1,Ramicaule,Erect
2017,65,149,10,Stelis argentata,RY,T10,E5,149,Stelis argentata,13.238,0.0803,0.97,0.863333333,164.856787,16,16,16,0,2,1,Ramicaule,Erect
2017,65,150,10,Maxillaria ramosa,RY,T10,E5,150,Maxillaria ochracea,20.144,0.1298,1.6,0.76,155.192604,1,17.5,5,0,3,2,Pseudobulbs_Single internode,Scandent
2017,65,152,10,Oncidium adelaide,RY,T10,E5,152,Oncidium adelaide,8.302,0.0357,0.2,0.226666667,232.5490196,1,13,5,0,3,2,Pseudobulbs_Single internode,Scandent
2017,65,153,10,Maxillaria fritzii,RY,T10,E5,153,Maxillaria fritzii,24.6,0.1501,1.71,3.546666667,163.8907395,8,11.5,6,0,3,1,Pseudobulbs_Single internode,Erect
2017,65,154,10,Maxillaria ramosa,RY,T10,E5,154,Maxillaria ochracea,24.476,0.2077,1.98,0.806666667,117.8430429,1,27,7,0,3,1,Pseudobulbs_Single internode,Erect
2017,65,156,10,Pleurothallis hystrix,RY,T10,E5,156,Pleurothallis hystrix,4.464,0.0474,0.46,1.11,94.17721519,2,41,2,0,3,2,Pseudobulbs_Single internode,Scandent
2017,65,157,10,Pleurothallis hystrix,RY,T10,E5,157,Pleurothallis hystrix,4.26,0.0315,0.34,0.896666667,135.2380952,4,50,4,0,3,2,Pseudobulbs_Single internode,Scandent
2017,65,158,10,Epidendrum porpax,RY,T10,E5,158,Epidendrum porpax,2.16,0.0161,0.27,1.52,134.1614907,1,17,1,0,4,2,Leafy stem,Scandent
2017,65,159,10,Epidendrum porpax,RY,T10,E5,159,Epidendrum porpax,1.852,0.0178,0.27,1.776666667,104.0449438,1,4.5,1,0,4,2,Leafy stem,Scandent
2017,65,160,10,Epidendrum porpax,RY,T10,E5,160,Epidendrum porpax,1.281,0.0131,0.17,1.553333333,97.78625954,1,5,1,0,4,2,Leafy stem,Scandent
2017,65,161,3,Oncidium adelaide,RY,T10,E2,161,Oncidium adelaide,28.204,0.159,0.81,0.28,177.3836478,7,20,7,0,3,1,Pseudobulbs_Single internode,Erect
2017,65,162,3,Campylocentrum micranthum,RY,T10,E2,162,Campylocentrum micranthum,1.662,0.015,0.11,0.87,110.8,1,38,1,1,4,2,Leafy stem,Scandent
2017,65,163,3,Campylocentrum micranthum,RY,T10,E2,163,Campylocentrum micranthum,2.016,0.0237,0.15,0.936666667,85.06329114,1,14,1,1,4,2,Leafy stem,Scandent
2017,65,164,3,Campylocentrum micranthum,RY,T10,E2,164,Campylocentrum micranthum,1.586,0.0162,0.11,0.81,97.90123457,1,19,1,1,4,2,Leafy stem,Scandent
2017,65,165,1,Campylocentrum micranthum,RY,T10,E1,165,Campylocentrum micranthum,2.244,0.0206,0.14,0.796666667,108.9320388,1,45.5,1,0,4,2,Leafy stem,Scandent
