"site" "Op" "DSF" "ISF" "TSF" "DirB" "DifB" "TotB"
"73" "73" 14.91333333 0.2308 0.198733333 0.219833333 6.273333333 2.806666667 9.083333333
"74" "74" 11.28333333 0.139733333 0.144766667 0.141466667 3.8 2.046666667 5.846666667
"75" "75" 12.76333333 0.224 0.154466667 0.200233333 6.09 2.18 8.273333333
"76" "76" 14.02666667 0.178333333 0.154733333 0.170233333 4.846666667 2.186666667 7.033333333
"77" "77" 15.17666667 0.1284 0.157466667 0.138366667 3.49 2.226666667 5.716666667
"78" "78" 13.695 0.14735 0.1368 0.14375 4.005 1.93 5.94
"79" "79" 10.37 0.16945 0.13435 0.1575 4.61 1.9 6.505
"80" "80" 11.08666667 0.097833333 0.143233333 0.1134 2.66 2.023333333 4.686666667
"81" "81" 11.53 0.116433333 0.143233333 0.1256 3.166666667 2.023333333 5.19
"82" "82" 13.73 0.137433333 0.158966667 0.1448 3.74 2.246666667 5.983333333
"83" "83" 9.2 0.089733333 0.119233333 0.099833333 2.44 1.683333333 4.123333333
"84" "84" 9.926666667 0.1597 0.140266667 0.153033333 4.343333333 1.983333333 6.323333333
"85" "85" 11.37 0.296 0.163433333 0.250666667 8.046666667 2.31 10.35666667
"86" "86" 12.99666667 0.336433333 0.187233333 0.285366667 9.146666667 2.646666667 11.79
"87" "87" 14.48 0.314566667 0.189766667 0.271866667 8.553333333 2.683333333 11.23333333
